CFP	OMIM:312060
CFTR	OMIM:167800
CFTR	OMIM:211400
CFTR	OMIM:219700
CFTR	OMIM:277180
CHAMP1	OMIM:616579
CHAT	OMIM:254210
CHCHD10	OMIM:615048
CHCHD10	OMIM:615911
CHCHD10	OMIM:616209
CHCHD2	OMIM:616710
CHD1	OMIM:617682
CHD2	OMIM:615369
CHD3	OMIM:618205
CHD4	OMIM:617159
CHD7	OMIM:214800
CHD7	OMIM:612370
CHD8	OMIM:615032
CHEK2	OMIM:114480
CHEK2	OMIM:114500
CHEK2	OMIM:176807
CHEK2	OMIM:259500
CHEK2	OMIM:609265
CHI3L1	OMIM:181500
CHIC2	OMIM:601626
CHKB	OMIM:602541
CHM	OMIM:303100
CHMP1A	OMIM:614961
CHMP2B	OMIM:600795
CHMP4B	OMIM:605387
CHN1	OMIM:604356
CHP1	OMIM:618438
CHRDL1	OMIM:309300
CHRM3	OMIM:100100
CHRNA1	OMIM:253290
