C14orf93	ZNF445
C14orf93	ZNF408
C14orf93	ZBTB21
C14orf93	SET
C14orf93	REPIN1
C14orf93	PWWP2A
C14orf93	MEN1
C14orf93	IKZF5
C14orf93	FAM111B
UTP25	WDR70
CSGALNACT1	SLC30A1
PAFAH1B1	PAFAH1B3
PAFAH1B1	PAFAH1B2
MLF1	SYNRG
MTPN	P3H1
MTPN	NUDT21
PRRC1	RAB6A
PRRC1	RAB2A
ODF3L2	TSSK1B
GPHN	TSSK1B
GPHN	ODF3L2
PHF8	POU2F1
ZNF449	ZSCAN20
ZNF215	ZSCAN20
ZNF215	ZNF449
ZNF215	ZNF263
TSN	TSNAX
KIF2A	TSNAX
KIF2A	TSN
CEP128	TSNAX
CEP128	TSN
CEP128	KIF2A
C5orf34	PDE7A
C5orf34	IQSEC2
C5orf34	THBS4
C5orf34	THBS3
C5orf34	THBS1
ANKRD46	MGRN1
ARHGEF12	TRMT6
ARHGEF12	TRMT61A
ARHGEF12	RBFOX2
BIRC7	ZC3H7A
CHST15	NDUFAF2
PDK4	SIL1
PDK4	PSMD8
CAMSAP2	PCIF1
HEMK1	MTRF1L
NDUFAF4	NDUFV3
NDUFAF4	NDUFV1
NDUFAF4	NDUFS8
NDUFAF4	NDUFS7
NDUFAF4	NDUFS5
NDUFAF4	NDUFS4
NDUFAF4	NDUFS3
NDUFAF4	NDUFS2
NDUFAF4	NDUFB9
NDUFAF4	NDUFB8
NDUFAF4	NDUFB6
NDUFAF4	NDUFB5
NDUFAF4	NDUFB3
NDUFAF4	NDUFB11
NDUFAF4	NDUFB10
NDUFAF4	NDUFB1
EDEM1	SUFU
EDEM1	ZACN
EDEM1	SLC43A1
EDEM1	SLC41A3
SPINT1	ZNF250
MSI2	TIMM10B
BAX	BCL2
BAX	BCL2L1
TBL2	TMEM201
AKR1E2	RPE
AKR1E2	DNM3
AKR1E2	DNM2
AKR1E2	DNM1
FBXO15	HINT3
CPA6	HINT3
CPA6	FBXO15
CDK18	PSMB4
CDK18	CEP120
CDK18	TTC29
CDK18	CILK1
PHF12	SIN3B
KDM5A	SIN3B
KDM5A	PHF12
GATAD1	SIN3B
GATAD1	PHF12
GATAD1	KDM5A
AGPAT1	COCH
NDUFAF6	PMF1
DDX55	UTP3
DDX55	EIF6
RHBDF1	RPS6KA5
KLHL41	TRIM44
KLHL41	TRIM35
KLHL41	TRIM10
MTHFD1L	UBQLN1
FUCA2	PYGL
FUCA2	GIPC1
NAPSA	SCNN1G
RERE	WDR5
ZNF26	ZNF263
ZNF26	ZNF500
ZNF26	ZNF397
EFNB3	TBC1D22A
DCLRE1B	TINF2
DCLRE1B	TERF1
DCLRE1B	POT1
DCLRE1B	TERF2IP
DCLRE1B	TERF2
KIAA1671	ZNF140
KIAA1671	ZBTB49
KIAA1671	WDR83
KIAA1671	SH2B2
KIAA1671	RNF187
KIAA1671	RIMS4
FOXP1	RABEP1
CCDC183	TMF1
CCDC183	TEDC1
CCDC183	RABEP1
CCDC183	FOXP1
CCDC183	CEBPA
SATB2	TRIM24
CTSZ	SUMO4
CTSZ	PCCB
TPD52L1	TRAF4
STKLD1	TRAF4
STKLD1	TPD52L1
VPS37A	VPS37C
VPS37A	VPS37B
UBAP1	VPS37C
UBAP1	VPS37B
UBAP1	VPS37A
UBAP1	VPS28
MVB12A	VPS37C
MVB12A	VPS37B
MVB12A	VPS37A
MVB12A	VPS28
MVB12A	UBAP1
MVB12A	TSG101
CAMSAP1	HNRNPLL
CLGN	MOGS
LRRC1	VIPAS39
LRRC1	SCRIB
EIF4EBP2	TIMM8B
EIF4EBP2	PDYN
NAT14	PEX19
WNT4	WNT7B
HMOX2	POTEE
